TrackName,PricePerTrack,TotalUnitsSold
Gayle Josephoff,0.99,1
Gene Girardez,0.99,1
Genevieve Detoile,0.99,1
Geoff Tomaello,0.99,1
Georg Beckinsale,0.99,1
Geraldine Gergely,0.99,1
Gerladina Gitting,0.99,1
Gerry Rawcliffe,0.99,1
Gert Briamo,0.99,1
Giffie Hosburn,0.99,1
Giselle Chicco,0.99,1
Giulietta Dawkins,0.99,1
Glenn Camerati,0.99,1
Glyn Stiles,0.99,1
Gonzales Murtagh,0.99,1
Grace MacLeod,0.99,1
Graphic Interface,0.99,1
Graphical User Interface,0.99,1
Grassjazzroots,0.99,1
Grasspop,0.99,1
Grassroots,0.99,1
Greenlam,1.99,1
Gregoor Oene,0.99,1
Gregory Message,0.99,1
Gretal Gietz,1.99,1
Grover Whittall,0.99,1
Gun Lawerence,0.99,1
Guss Burkhill,0.99,1
Gwendolyn Ruckledge,0.99,1
Hamlin Edgell,0.99,1
Haroun Ambrogioni,0.99,1
Harp Dunniom,0.99,1
Harri Bedlington,1.99,1
Harvey de Nore,0.99,1
Heinrik Scrinage,0.99,1
Hendrick Hilldrop,0.99,1
Hermina Basford,0.99,1
Homer Boumphrey,0.99,1
Homere McGeouch,0.99,1
Horizontal,0.99,1
Hube Bierling,0.99,1
Hugo Severns,0.99,1
Ignaz Vial,0.99,1
Ileane Poff,0.99,1
Ingaborg Waterland,0.99,1
Ingemar Petyt,0.99,1
Ingrim Halvorsen,0.99,1
Isa Ferrige,0.99,1
Isobel Mathwen,0.99,1
Jacquelyn Glanz,0.99,1
Jacquette Spinas,0.99,1
Jacquie Elsip,0.99,1
Jared Wellard,0.99,1
Jarret Fernely,0.99,1
Jaymie McDougal,0.99,1
Jayson Gilliatt,0.99,1
Jeffy Sandal,0.99,1
Jenica O'Flynn,0.99,1
Jeniece Oldnall,0.99,1
Jennine Hurcombe,0.99,1
Jerome Whorlow,0.99,1
Jessalyn Pylkynyton,0.99,1
Jessamine Bordis,0.99,1
Jessika McCroary,0.99,1
Jeth Burgwyn,0.99,1
Joana Passo,0.99,1
Jocelin Shine,0.99,1
Joceline Murr,0.99,1
Joellen Brugden,0.99,1
Johan Clifton,0.99,1
John Safont,0.99,1
Johnathon Al Hirsi,0.99,1
Jolee Gavin,0.99,1
Joletta Britney,0.99,1
Joshuah Jobey,0.99,1
Joshuah Parcall,0.99,1
Joycelin Dumbare,0.99,1
Juditha Brome,0.99,1
Junette Hedworth,0.99,1
Justen Kelf,0.99,1
Kahlil Caroli,0.99,1
Kane Suter,0.99,1
Kariotta Daout,0.99,1
Karisa Metherell,0.99,1
Karl Leavy,0.99,1
Karlen Martinet,0.99,1
Karoly Diwell,0.99,1
Katerina Decayette,0.99,1
Kathy Friskey,0.99,1
Kathye Cammish,0.99,1
Kaylyn Lamplugh,0.99,1
Kean Shuttleworth,0.99,1
Keen Longwood,0.99,1
Kelsey Cattrell,0.99,1
Kennan Lempke,0.99,1
Kerri Yeeles,0.99,1
Kerstin Bentsen,0.99,1
Kile Laughlin,0.99,1
Kilian Kerbler,0.99,1
Kingsly Crinson,0.99,1
Kipper Lomond,0.99,1
Kipper Mylechreest,0.99,1
Kit McGiffie,0.99,1
Korney Slyme,0.99,1
Kort Johannes,0.99,1
Kristan Leonardi,1.99,1
Kynthia Genge,0.99,1
Kynthia Strapp,0.99,1
Kyrstin Viegas,0.99,1
Lanie Fenelow,0.99,1
Laurel Asson,0.99,1
Laurie Amiranda,0.99,1
Laurie Barkhouse,0.99,1
Lavina Glabach,0.99,1
Lavinie Donald,0.99,1
Lazarus Jouanny,0.99,1
Lefty Biskupek,0.99,1
Lemuel Hullock,0.99,1
Lenette Gherardi,0.99,1
Leonid Cheeseman,0.99,1
Lian Paramor,0.99,1
Lilia Dominick,0.99,1
Lloyd Kildahl,0.99,1
Loella Ockland,1.99,1
Lolita Bynold,0.99,1
Lolly Musker,0.99,1
Lona Wenger,0.99,1
Lonee Benzie,0.99,1
Loraine Cawdell,1.99,1
Loren Hugin,0.99,1
Lorene Birchall,0.99,1
Lorilyn Ellingsworth,0.99,1
Lothaire Battersby,0.99,1
Lucienne Hair,0.99,1
Lucila Tyne,0.99,1
Lucina Tweedlie,0.99,1
Lulita Lorkings,0.99,1
Lynett Hatchell,0.99,1
Lynsey Rouby,0.99,1
Mabelle Tew,0.99,1
Mag Legerwood,0.99,1
Mala Reichelt,0.99,1
Mallissa Sherme,0.99,1
Mamie Baudain,0.99,1
Mandatory,0.99,1
Margarete Izat,0.99,1
Margarethe Macbeth,0.99,1
Margarita Joddens,0.99,1
Margaux Dodshun,0.99,1
Margeaux Truett,0.99,1
Marillin Lenihan,0.99,1
Marji Wyleman,0.99,1
Marleen Grzelczyk,0.99,1
Mart Gowthrop,0.99,1
Martelle Enderson,0.99,1
Maryjane Joannet,0.99,1
Marylynne Maroney,0.99,1
Matthew Bartram,0.99,1
Matthias Purveys,0.99,1
Mauricio Hannibal,0.99,1
Maurizia Pagden,0.99,1
Maury Duffan,0.99,1
Maximilian Cleobury,0.99,1
Maximilian Masden,0.99,1
Maximilian Roaf,0.99,1
Maximilianus Spivie,0.99,1
Maybelle Beaves,0.99,1
Mayer Sterre,0.99,1
Melba Lawday,0.99,1
Melloney Heymes,0.99,1
Melody Tortoishell,0.99,1
Mercie Pregal,0.99,1
Merill McGrail,0.99,1
Mervin Unworth,0.99,1
Micah Marchello,0.99,1
Mickie Witherspoon,0.99,1
Mighty Max,0.99,1
Milli O'Donohue,0.99,1
Milt Surgey,0.99,1
Minne Storek,0.99,1
Mirabelle Crowley,0.99,1
Miriam Cupitt,0.99,1
Mollie Bicksteth,0.99,1
Morgan Planque,0.99,1
Morgan Pyrke,0.99,1
Morlee Andrews,0.99,1
Morrie Peacham,0.99,1
Multialkjdfijchannelled,0.99,1
Multiaoijkewchannelled,0.99,1
Multichannelled,0.99,1
Multifun,0.99,1
Multigrooves,0.99,1
Multihouse,0.99,1
Multilateral,0.99,1
Multitrack,0.99,1
Multitunes,0.99,1
Myrle Bison,0.99,1
Nady Labbett,0.99,1
Nataline Orton,0.99,1
Natassia Bunn,0.99,1
Natka Reddell,0.99,1
Ned Suarez,0.99,1
Nelie Borg,0.99,1
Networked,0.99,1
Nikola Askell,0.99,1
Nils Kaminski,0.99,1
Nissy Jaquet,0.99,1
Noam Blonfield,0.99,1
Nobe Stiebler,0.99,1
Noella Lamort,0.99,1
Nolly Shipman,0.99,1
Norman Capron,0.99,1
Norri Klemke,0.99,1
Norris Ferenczi,0.99,1
Object-based,0.99,1
Ode Sandcroft,0.99,1
Ogden Deroche,0.99,1
Onfre Heggison,0.99,1
Opela Mann,0.99,1
Openarchitected,0.99,1
Organized,0.99,1
Orin Kluger,1.99,1
Orion Morrott,0.99,1
Orsa Phillpotts,0.99,1
Orsola McGunley,0.99,1
Othelia Francino,0.99,1
Othella Smiz,0.99,1
Pace Monahan,0.99,1
Pamela Braunes,0.99,1
Pamella Fonzone,0.99,1
Paolina Pont,0.99,1
Paolo Demeter,0.99,1
Pat Thorburn,0.99,1
Pate Matley,0.99,1
Paton Mainston,0.99,1
Patricia Colles,0.99,1
Patrick Pennyman,0.99,1
Paxton Roarty,0.99,1
Peadar Senussi,0.99,1
Pearla Lutwyche,0.99,1
Penny Byles,0.99,1
Persevering,0.99,1
Petr Bercher,0.99,1
Phased,0.99,1
Phineas Budnk,0.99,1
Pierson Miskelly,0.99,1
Port Nern,0.99,1
Preemptive,0.99,1
Prisca Offiler,0.99,1
Profitallday,0.99,1
Profitjazz,0.99,1
Progressive,0.99,1
Project Chill,0.99,1
Prudy Mallender,0.99,1
Qualitymusic,0.99,1
Qualitytoday,0.99,1
Qualitytunesallday,0.99,1
Quo Lux,1.99,1
Randi Manna,0.99,1
Reactive,0.99,1
Redhold,1.99,1
Reeba Haughan,0.99,1
Reengineered,0.99,1
Reggie Pineaux,0.99,1
Reinaldo Stapley,0.99,1
Renato Elleton,0.99,1
Reversebeats,0.99,1
Rhianon Jost,0.99,1
Rhona Dearnaley,0.99,1
Riannon Gittins,0.99,1
Ricca Juniper,0.99,1
Richard Pipping,0.99,1
Rightsized,0.99,1
Rightstuff,0.99,1
Riki Kohring,0.99,1
Rivi Shirland,0.99,1
Rob Shropsheir,0.99,1
Robinette Nevison,0.99,1
Robinson Gudahy,0.99,1
Rochette Larmouth,0.99,1
Rodge Shapcott,0.99,1
Rogerio Lawly,0.99,1
Rolando Sunnex,0.99,1
Romola Girardengo,0.99,1
Rosalind Dunnet,0.99,1
Rosanna Blakeney,0.99,1
Rosetta Cloke,0.99,1
Sandi Langland,0.99,1
Sandie Abbatt,1.99,1
Sascha MacCaffery,0.99,1
Saul Stichall,0.99,1
Selfsufficientclassical,0.99,1
Selftunesenabling,0.99,1
Sharai Oldall,0.99,1
Sharl Bushen,0.99,1
Sharlene Beamiss,0.99,1
Sheila Wallman,0.99,1
Sherlock Mahony,0.99,1
Sigismond Rapi,1.99,1
Skipp Stallworthy,0.99,1
Slade Hixley,0.99,1
Solarbreeze,1.99,1
Son Trevascus,0.99,1
Sophi Cockerham,0.99,1
Spenser Tebbitt,0.99,1
Spike Stranio,0.99,1
Standoveralone,0.99,1
Stanley Scottesmoor,0.99,1
Stephana Endean,0.99,1
Stim Brothers,0.99,1
Sully Dallison,1.99,1
Switchable,0.99,1
Sylvan Critoph,0.99,1
Tabbie Dore,0.99,1
Tammara Himsworth,0.99,1
Tampflex,1.99,1
Tan Dikelin,0.99,1
Tania Towhey,0.99,1
Teammusic,0.99,1
Teamoriented,0.99,1
Teamtriedandtrue,0.99,1
Tedie Edgworth,1.99,1
Thor Ozanne,0.99,1
Thorstein Ennew,0.99,1
Tin,1.99,1
Tobit Linkin,0.99,1
Tomkin Sutton,0.99,1
Tori Wason,0.99,1
Torr Rait,0.99,1
Torrence Aldersey,0.99,1
Total,0.99,1
Totaltoon,0.99,1
Towney Dickman,1.99,1
Transcof,1.99,1
Tres-Zap,1.99,1
Trev McVitty,0.99,1
Triplebuffered,0.99,1
Triplefries,0.99,1
Triplesec,0.99,1
Tripletimebuffered,0.99,1
Trippledex,1.99,1
Tristan Ellwand,0.99,1
Trudie Saladino,0.99,1
Ugo Thomesson,0.99,1
Umberto Pinkie,0.99,1
Upwards,0.99,1
Ursala Glasscock,0.99,1
Userfriendly,0.99,1
Users,0.99,1
Vale Golde,1.99,1
Vasili Shelley,0.99,1
Ventosanzap,1.99,1
Veribet,1.99,1
Vicky Halso,0.99,1
Victor Grung,0.99,1
Vilma Entres,0.99,1
Vinita Cluet,0.99,1
Vinnie Wollard,0.99,1
Visionbaby,0.99,1
Visionlove,0.99,1
Voyatouch,1.99,1
Waiter Adlard,0.99,1
Waverley Steel,0.99,1
Wayland Faltin,0.99,1
Wernher Issacov,0.99,1
Wiatt Kingdom,1.99,1
Willyt Saywell,0.99,1
Winna Demschke,0.99,1
Wolfy Armitt,0.99,1
Wrapsafe,1.99,1
Wright Paolucci,0.99,1
Y-find,1.99,1
Yoko Tinker,0.99,1
Yurik Drinkall,0.99,1
Zachery Huffey,0.99,1
Zaneta Ricci,1.99,1
Zelma Kibbe,1.99,1
Zoolab,1.99,1
access,0.99,1
alnalkfn,0.99,1
analyzing,0.99,1
attitude,0.99,1
attitudeoriented,1.99,1
background,0.99,1
bottom dweller,0.99,1
bottom fence,0.99,1
bottom noise,0.99,1
bottom tier,0.99,1
bottom to top,0.99,1
budgetary management,0.99,1
challenge,0.99,1
clearjazz,0.99,1
clearthinking,0.99,1
clientdriven,0.99,1
clienthelp,0.99,1
clienthip,0.99,1
clientserverfocus,0.99,1
clienttunes,0.99,1
composite,0.99,1
concept,1.99,1
contentbased,0.99,1
contentbased,1.99,1
contextjazz,0.99,1
contextmusic,0.99,1
contextuallybased,0.99,1
contextuallysmooth,0.99,1
core,0.99,1
datafunkwarehouse,0.99,1
datagroovewarehouse,0.99,1
datawarehouse,0.99,1
dedicated,0.99,1
demandfunkdriven,0.99,1
disintermediate,0.99,1
ecogroove,0.99,1
ecolove,0.99,1
encoding,0.99,1
evenfunkkeeled,0.99,1
evenkeeled,0.99,1
evenstevenkeeled,0.99,1
executive,0.99,1
extranet,0.99,1
extranet,1.99,1
flexibility,0.99,1
freshfunkthinking,0.99,1
freshjazzthinking,0.99,1
freshtechnothinking,0.99,1
fullrange,0.99,1
function,0.99,1
functionalities,0.99,1
gridenabled,0.99,1
gridlockenabled,0.99,1
heuristic,0.99,1
highjazzlevel,0.99,1
hightechlevel,0.99,1
hoioerw,0.99,1
holistic,1.99,1
humanpop,0.99,1
humanresource,0.99,1
implementation,0.99,1
infojazzmediaries,0.99,1
infotunedinmediaries,0.99,1
infotunemediaries,0.99,1
infrastructure,0.99,1
installation,1.99,1
intermediate,0.99,1
internet solution,0.99,1
intranet,0.99,1
jeoj,0.99,1
kjjljdkf,0.99,1
lajasdkljf,0.99,1
lajwrlwr,0.99,1
lakjajf,0.99,1
lakjdfas,0.99,1
lkwrareg,0.99,1
lsdjajknfd,0.99,1
lwktjykjwy,0.99,1
matrices,0.99,1
matrix,0.99,1
maximized,0.99,1
missiongroovecritical,0.99,1
missionpopcritical,0.99,1
moderator,0.99,1
modular,0.99,1
multichat,0.99,1
multilove,0.99,1
multiregion,0.99,1
multitasking,0.99,1
needsbased,0.99,1
neural-net,0.99,1
non-volatile,0.99,1
nonvolatile,0.99,1
object-oriented,0.99,1
objecthouseoriented,0.99,1
objectoriented,0.99,1
oijij,0.99,1
parallelism,0.99,1
portal,0.99,1
process improvement,1.99,1
product,0.99,1
productivity,0.99,1
radical,0.99,1
radical,1.99,1
realfun,0.99,1
realhip,0.99,1
reallove,0.99,1
reciprocal,0.99,1
regional,0.99,1
secondary,0.99,1
secured line,0.99,1
servicedesk,0.99,1
servicejazzdesk,0.99,1
solutionhiphop,0.99,1
solutionoriented,0.99,1
solutionsavior,0.99,1
superstructure,0.99,1
support,0.99,1
systemwhat,0.99,1
systework,0.99,1
taskforce,0.99,1
taskteller,0.99,1
tertiary,0.99,1
timeframe,0.99,1
timetellframe,0.99,1
timewhatframe,0.99,1
toolsettunes,0.99,1
transitional,0.99,1
valuekin,0.99,1
webby,0.99,1
website,0.99,1
zero administration,1.99,1
